id,event_type,venue_snt,trp_rcv_ld4,trp_snt_ld4,trp_rcv_zhr,trp_snt_zhr,session_id,sequence_number,num_orders,stale,valid
86ce1aed-8ec3-4b14-a3dc-c03d541113d8,ASK,2022-04-04 09:00:29.997,2022-04-04 09:00:30.000739,2022-04-04 09:00:30.000783,2022-04-04 09:00:30.014451,2022-04-04 09:00:30.014513,1647868673,9796909,-1,f,t
0fb6830d-480f-4a03-9cf4-f2560c186e2f,BID,2022-04-04 09:00:29.997,2022-04-04 09:00:30.000739,2022-04-04 09:00:30.000783,2022-04-04 09:00:30.014451,2022-04-04 09:00:30.014506,1647868673,9796909,-1,f,t
3dd8d206-9a00-4e46-93fb-590b710bc22d,ASK,2022-04-04 09:00:29.997,2022-04-04 09:00:30.000544,2022-04-04 09:00:30.000596,2022-04-04 09:00:30.014233,2022-04-04 09:00:30.01428,1647868673,9796908,-1,f,t
df4dd591-b017-485f-9c0b-9b8795b6551e,BID,2022-04-04 09:00:29.997,2022-04-04 09:00:30.000544,2022-04-04 09:00:30.000596,2022-04-04 09:00:30.014233,2022-04-04 09:00:30.014276,1647868673,9796908,-1,f,t
c10f5b19-51f6-4f23-9f20-b4559c3a649c,ASK,2022-04-04 09:00:29.996,2022-04-04 09:00:29.999806,2022-04-04 09:00:29.99986,2022-04-04 09:00:30.013506,2022-04-04 09:00:30.013567,1647868673,9796907,-1,f,t
6f32fccc-bde1-48c1-87ac-8b1171902c5d,BID,2022-04-04 09:00:29.996,2022-04-04 09:00:29.999806,2022-04-04 09:00:29.99986,2022-04-04 09:00:30.013506,2022-04-04 09:00:30.013561,1647868673,9796907,-1,f,t
8565947b-4054-45bb-b11c-84007edd74e0,ASK,2022-04-04 09:00:29.996,2022-04-04 09:00:29.999601,2022-04-04 09:00:29.99966,2022-04-04 09:00:30.013307,2022-04-04 09:00:30.013363,1647868673,9796906,-1,f,t
db8826c9-3283-4e29-bf00-250ee6acb3d7,BID,2022-04-04 09:00:29.996,2022-04-04 09:00:29.999601,2022-04-04 09:00:29.99966,2022-04-04 09:00:30.013307,2022-04-04 09:00:30.013357,1647868673,9796906,-1,f,t
630bf6e2-911d-4232-b971-6fbeb22d2f00,ASK,2022-04-04 09:00:29.99,2022-04-04 09:00:29.993941,2022-04-04 09:00:29.99399,2022-04-04 09:00:30.007634,2022-04-04 09:00:30.007686,1647868673,9796883,-1,f,t
